File,Minor,Major,Total,Ownership,Bugs
Utility.java,45.0,1.0,46.0,0.8333333,0.0
TestWikipediaTokenizerFactory.java,45.0,1.0,46.0,0.7777778,1.0
NodeStateWatcher.java,45.0,1.0,46.0,0.6666667,0.0
FixedLatLng.java,44.0,2.0,46.0,0.5,0.0
TestItalianLightStemFilterFactory.java,45.0,1.0,46.0,0.7,1.0
ShardDoc.java,46.0,0.0,46.0,0.23076923,1.0
NumericRangeQueryBuilder.java,46.0,0.0,46.0,0.375,0.0
IndexDocument.java,45.0,1.0,46.0,0.6666667,0.0
LoggingHandlerTest.java,45.0,1.0,46.0,0.6,0.0
CloneFieldUpdateProcessorFactory.java,46.0,0.0,46.0,0.25,0.0
BinaryDocValuesField.java,45.0,1.0,46.0,0.6666667,0.0
DiskDocValuesProducer.java,45.0,1.0,46.0,0.73913044,3.0
OldLuceneQParserPlugin.java,46.0,0.0,46.0,0.33333334,0.0
TestMultiTermConstantScore.java,45.0,1.0,46.0,0.53333336,6.0
FieldTypeCollectionResource.java,45.0,1.0,46.0,0.75,0.0
BulkOperationPacked49.java,45.0,1.0,46.0,0.5,1.0
DocValuesAugmenter.java,45.0,1.0,46.0,1.0,0.0
StraightBytesDocValuesField.java,45.0,1.0,46.0,0.6666667,1.0
CharacterDefinitionWriter.java,46.0,0.0,46.0,0.42857143,0.0
BlockCacheLocation.java,45.0,1.0,46.0,1.0,0.0
DocTermOrdsRangeFilter.java,45.0,1.0,46.0,0.75,1.0
MorphlineMapper.java,45.0,1.0,46.0,1.0,0.0
NoOpRegenerator.java,45.0,1.0,46.0,1.0,0.0
Filter.java,46.0,0.0,46.0,0.33333334,0.0
SnowballFilter.java,45.0,1.0,46.0,0.6666667,2.0
ParallelMultiSearcher.java,46.0,0.0,46.0,0.33333334,0.0
MathUtil.java,46.0,0.0,46.0,0.33333334,0.0
FrenchLightStemFilter.java,45.0,1.0,46.0,0.5,0.0
DistanceUnits.java,46.0,0.0,46.0,0.4375,0.0
FixedGapTermsIndexWriter.java,46.0,0.0,46.0,0.34375,3.0
SlowMultiReaderWrapper.java,46.0,0.0,46.0,0.35,3.0
DefaultFieldsFormat.java,45.0,1.0,46.0,1.0,0.0
FilesystemResourceLoader.java,44.0,2.0,46.0,0.5,2.0
TestCommonGramsQueryFilterFactory.java,45.0,1.0,46.0,0.8333333,3.0
TestSearcherManager.java,46.0,0.0,46.0,0.4117647,8.0
KStemData7.java,45.0,1.0,46.0,1.0,0.0
BufferedChecksumIndexInput.java,45.0,1.0,46.0,0.6666667,0.0
XMLWriter.java,46.0,0.0,46.0,0.3529412,1.0
ArabicNormalizationFilterFactory.java,45.0,1.0,46.0,0.5,1.0
BulkOperationPacked56.java,45.0,1.0,46.0,0.5,1.0
TestNamedSPILoader.java,45.0,1.0,46.0,0.54545456,0.0
NewRoundTask.java,45.0,1.0,46.0,0.8333333,0.0
DefaultSolrThreadFactory.java,46.0,0.0,46.0,0.33333334,0.0
SourceCache.java,45.0,1.0,46.0,0.85714287,0.0
TestAnalysisSPILoader.java,45.0,1.0,46.0,0.75,2.0
SlowCollatedTermRangeFilter.java,45.0,1.0,46.0,0.625,1.0
ParallelArray.java,45.0,1.0,46.0,1.0,0.0
ValuesEnum.java,45.0,1.0,46.0,1.0,0.0
SpanQueryBuilderFactory.java,45.0,1.0,46.0,0.5,0.0
DocTermOrdsRewriteMethod.java,45.0,1.0,46.0,0.6363636,1.0
TestFSTs.java,46.0,0.0,46.0,0.46153846,20.0
CustomScoreQuery.java,46.0,0.0,46.0,0.3846154,7.0
RetainMostRecentUpdateConflictResolver.java,45.0,1.0,46.0,1.0,0.0
SynonymTokenizerTest.java,44.0,2.0,46.0,0.5,0.0
